"anonym_id","gender","title","discipline","last_published","academia_length","phd_dissertation"
67,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
68,"Man","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","1-5 years",NA
69,"Woman","Associate Professor","Non-STEM","In the last year","More than 10 years",NA
70,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
71,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
72,"Man","Post Doc","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
73,"Prefer not to say","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
74,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
75,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
76,"Woman","Full Professor","Non-STEM","In the last year","More than 10 years",NA
77,"Man","This does not apply to me","STEM (science, technology, engineering, mathematics)","This year","6-10 years",NA
78,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
79,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
80,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
81,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA
82,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
83,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
84,"Woman","Full Professor","Non-STEM","This year","More than 10 years",NA
85,"Man","Assistant Professor","Non-STEM","This year","6-10 years",NA
86,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
87,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
88,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","6-10 years",NA
89,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","In the last year","1-5 years","3-4 articles"
90,"Man","Full Professor","Non-STEM","In the last year","More than 10 years",NA
91,"Woman","Full Professor","Non-STEM","In the last year","More than 10 years",NA
92,"Man","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
93,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
94,"Woman","This does not apply to me","Non-STEM","This year","More than 10 years",NA
95,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
96,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
97,"Man","Assistant Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
